"Gamma","Sigma","RecentBeta","RecentR0","FirstDayNum","FirstDayInfectedCount","FirstDayExposedCount","PeakDayNum","PeakDayInfectedCount","TotalPopulation","Loss","Province","Country","FirstDate","PeakDate","tableFileKey"
0.03008934,0.125,0.003894287,0.1294241,24.79585,12.81505,1.213513,68,6958.027,51469999,985.1027,"","Korea,_South","2020-01-25","2020-03-08","Korea,_South-0_125"
0.03117026,0.1428571,0.04706865,1.51005,23.25215,2.962218,4.556936,388,84703.5,51469999,887.9474,"","Korea,_South","2020-01-23","2021-01-22","Korea,_South-0_143"
0.02972451,0.1666667,7.285395e-05,0.002450972,18.91933,12.4138,6.567565,69,7134.516,51469999,734.9993,"","Korea,_South","2020-01-19","2020-03-09","Korea,_South-0_167"
0.02940172,0.2,0.0004505908,0.01532532,26.38102,17.84642,7.15453,68,7198.532,51469999,941.1139,"","Korea,_South","2020-01-26","2020-03-08","Korea,_South-0_2"
0.03043333,0.25,0.01508011,0.4955131,27.56221,2.606937,8.11694,70,7181.695,51469999,901.3292,"","Korea,_South","2020-01-28","2020-03-10","Korea,_South-0_25"
0.03002793,0.3333333,0.0145847,0.4857047,23.91037,3.60133,6.026168,71,7177.02,51469999,665.4764,"","Korea,_South","2020-01-24","2020-03-11","Korea,_South-0_333"
0.02663182,0.5,0.02298183,0.8629461,23.02283,5.67498,8.056751,65,4736.8,51469999,2121.01,"","Korea,_South","2020-01-23","2020-03-05","Korea,_South-0_5"
0.02927029,1,0.002636389,0.09007049,19.25831,9.480243,11.88962,70,7380.576,51469999,573.3558,"","Korea,_South","2020-01-19","2020-03-10","Korea,_South-1"
0.03005213,12,0.0009650585,0.03211281,21.72528,4.842528,12.00517,70,7138.39,51469999,635.8903,"","Korea,_South","2020-01-22","2020-03-10","Korea,_South-12"
0.03008844,2,0.01081431,0.3594173,23.35387,2.860055,10.97443,68,7090.011,51469999,690.8543,"","Korea,_South","2020-01-23","2020-03-08","Korea,_South-2"
0.03206953,4,0.001307339,0.04076578,27.39598,9.22225,5.900477,67,7032.031,51469999,776.53,"","Korea,_South","2020-01-27","2020-03-07","Korea,_South-4"
